source,target,similarity_ranking
862986,959630,15
862986,958644,13
862986,913194,11
862986,606164,10
862986,319226,9
862986,323828,9
862986,56942,9
862986,588717,8
862986,243544,7
862986,782323,7
862986,506825,6
862986,737414,6
862986,384087,6
862986,537251,6
862986,683050,6
862986,598704,6
862986,130579,6
862986,169713,6
862986,902793,6
862986,131472,6
862986,11771,6
862986,963428,5
862986,23821,5
862986,406400,5
862986,821479,5
862986,547933,5
862986,698961,5
862986,657034,5
862986,706776,5
862986,55194,5
162704,26254,30
162704,302776,28
162704,131618,27
162704,736652,26
162704,843626,26
162704,404983,26
162704,736308,25
162704,379565,24
162704,547933,22
162704,20031,21
162704,232434,21
162704,930317,18
162704,606346,18
162704,20303,17
162704,811322,17
162704,962410,17
162704,339453,16
162704,507385,16
162704,851293,15
162704,994664,15
162704,26354,14
162704,605781,14
162704,756068,13
162704,822198,13
162704,861764,13
162704,300842,13
162704,829616,13
162704,606164,12
162704,319670,12
162704,902153,12
259731,767782,10
259731,811322,10
259731,208065,8
259731,203832,7
259731,258919,7
259731,505797,7
259731,931453,6
259731,483705,6
259731,414221,6
259731,535357,6
259731,692058,6
259731,534602,6
259731,333308,6
259731,101515,6
259731,680986,6
259731,963787,6
259731,233186,6
259731,839720,6
259731,109594,6
259731,567380,6
259731,406999,6
259731,218180,6
259731,151223,6
259731,231864,6
259731,831088,5
259731,80140,5
259731,33471,4
259731,406400,4
259731,860982,4
259731,465398,4
118846,606164,39
118846,100913,37
118846,994664,35
118846,384002,33
118846,85254,33
118846,350356,31
118846,547933,31
118846,20031,31
118846,160411,28
118846,555997,27
118846,535725,27
118846,302776,26
118846,507267,26
118846,735815,26
118846,505694,26
118846,456039,25
118846,26254,25
118846,333208,25
118846,832998,24
118846,333742,23
118846,776758,23
118846,363301,23
118846,607351,23
118846,683050,23
118846,406400,22
118846,414856,22
118846,886018,20
118846,71271,20
118846,284112,20
118846,243399,20
211587,800948,30
211587,782323,27
211587,149930,27
211587,286704,27
211587,456039,24
211587,783657,24
211587,902793,23
211587,735815,22
211587,758884,20
211587,499879,20
211587,683050,20
211587,406400,19
211587,202651,19
211587,607351,19
211587,261470,18
211587,547933,18
211587,201814,18
211587,187842,18
211587,195919,18
211587,535632,18
211587,706776,17
211587,53983,17
211587,138129,17
211587,405952,17
211587,319226,17
211587,920717,16
211587,219936,16
211587,131472,16
211587,284112,16
211587,737414,16
40152,505694,44
40152,338814,37
40152,483022,36
40152,909273,35
40152,997377,34
40152,404983,33
40152,20303,33
40152,348307,32
40152,350356,32
40152,20031,31
40152,435199,31
40152,911419,30
40152,683261,29
40152,270472,27
40152,952279,27
40152,606164,27
40152,961772,27
40152,333208,27
40152,338469,26
40152,406400,26
40152,160411,26
40152,456039,26
40152,195509,25
40152,871439,25
40152,838716,24
40152,173028,24
40152,776758,23
40152,861764,22
40152,339248,22
40152,363822,22
465698,406400,32
465698,755556,25
465698,897957,24
465698,776758,24
465698,169713,23
465698,26500,23
465698,404025,22
465698,358288,21
465698,683050,21
465698,100913,19
465698,435043,19
465698,637293,19
465698,505694,19
465698,605224,19
465698,33471,19
465698,505785,17
465698,384002,17
465698,598704,17
465698,196950,17
465698,138129,17
465698,994664,16
465698,939877,16
465698,607351,16
465698,655448,15
465698,798236,15
465698,352561,15
465698,201814,14
465698,481191,14
465698,296490,14
465698,230055,14
869295,168298,33
869295,754420,29
869295,736652,28
869295,698672,23
869295,580947,21
869295,843626,21
869295,839311,21
869295,808997,19
869295,637414,19
869295,111337,19
869295,404983,19
869295,111635,18
869295,781037,18
869295,546644,18
869295,210356,18
869295,933855,17
869295,605781,17
869295,386592,17
869295,338183,17
869295,287210,17
869295,537134,17
869295,803982,17
869295,350486,17
869295,363950,16
869295,379565,16
869295,811322,16
869295,582014,15
869295,50621,14
869295,339715,13
869295,464228,13
852650,230772,50
852650,681371,41
852650,861515,37
852650,634540,36
852650,536849,33
852650,168087,31
852650,158574,29
852650,201356,27
852650,950003,27
852650,465327,27
852650,358068,23
852650,984363,23
852650,860675,23
852650,221062,21
852650,35970,20
852650,268275,20
852650,228540,19
852650,735869,19
852650,359918,19
852650,318640,18
852650,108514,17
852650,339474,17
852650,923817,16
852650,683067,16
852650,756163,16
852650,111635,16
852650,783880,16
852650,737508,15
852650,18665,15
852650,949342,13
820157,406400,18
820157,68677,16
820157,435043,15
820157,766748,14
820157,505694,14
820157,605224,13
820157,776758,13
820157,29577,12
820157,26500,12
820157,755556,12
820157,231864,12
820157,897957,12
820157,33471,12
820157,994664,11
820157,330110,10
820157,605917,10
820157,581790,10
820157,593448,10
820157,196950,10
820157,338018,10
820157,735011,10
820157,690883,9
820157,680986,9
820157,930431,9
820157,920717,9
820157,457142,9
820157,415224,9
820157,535357,9
820157,187828,9
820157,230055,9
168603,803982,30
168603,168298,27
168603,952959,21
168603,637414,20
168603,843626,18
168603,754420,18
168603,707234,18
168603,537134,17
168603,111337,16
168603,736652,16
168603,210356,15
168603,605781,15
168603,808997,12
168603,902153,11
168603,350486,11
168603,379565,10
168603,781037,10
168603,933855,10
168603,363950,10
168603,300842,9
168603,536100,9
168603,404983,9
168603,801150,9
168603,361031,9
168603,546644,9
168603,187096,9
168603,698672,8
168603,822198,7
168603,239986,7
168603,100192,7
677618,800948,24
677618,683050,22
677618,405952,18
677618,284112,17
677618,547933,16
677618,149930,15
677618,395611,15
677618,319226,14
677618,33471,14
677618,131472,14
677618,153722,14
677618,302776,13
677618,607351,13
677618,902793,13
677618,920717,13
677618,406400,13
677618,861257,13
677618,258717,12
677618,737414,12
677618,20031,12
677618,55194,12
677618,782323,12
677618,606164,12
677618,783441,12
677618,26500,12
677618,323828,11
677618,361031,11
677618,447769,11
677618,994664,11
677618,169713,11
656142,683050,30
656142,547933,30
656142,406400,29
656142,33471,27
656142,598704,27
656142,20031,25
656142,87299,24
656142,637293,23
656142,26500,23
656142,149930,23
656142,994664,23
656142,607351,22
656142,143411,22
656142,800948,22
656142,138129,21
656142,783441,20
656142,735502,19
656142,911419,19
656142,939877,19
656142,555857,18
656142,606164,18
656142,231455,18
656142,860721,18
656142,387268,17
656142,838716,17
656142,201814,17
656142,286704,17
656142,456039,17
656142,434217,17
656142,920717,17
53568,911419,21
53568,406400,20
53568,153722,19
53568,505694,19
53568,776758,18
53568,605224,18
53568,997377,17
53568,735502,17
53568,26500,17
53568,415224,17
53568,201814,17
53568,338814,16
53568,886018,15
53568,755556,15
53568,231864,15
53568,122538,15
53568,683261,14
53568,404983,14
53568,897957,14
53568,36369,14
53568,77142,14
53568,434217,14
53568,581790,13
53568,488287,13
53568,426203,13
53568,683050,13
53568,435540,13
53568,33471,13
53568,68677,13
53568,338183,13
580152,680986,14
580152,918922,14
580152,231864,12
580152,887867,12
580152,33471,12
580152,798084,12
580152,196950,12
580152,194344,12
580152,202776,12
580152,505694,12
580152,26500,12
580152,822198,12
580152,952442,12
580152,605224,11
580152,909273,11
580152,138129,11
580152,406400,10
580152,232528,10
580152,218080,9
580152,557679,9
580152,675594,9
580152,716612,9
580152,582137,9
580152,911419,9
580152,296490,9
580152,644851,9
580152,605917,9
580152,683261,9
580152,302776,9
580152,338183,8
149930,20031,75
149930,547933,59
149930,800948,53
149930,456039,50
149930,286704,46
149930,607351,44
149930,902793,41
149930,406400,41
149930,994664,39
149930,505694,36
149930,758884,36
149930,683050,35
149930,138129,34
149930,767782,34
149930,395611,34
149930,33471,33
149930,535632,33
149930,920717,33
149930,194344,33
149930,201814,32
149930,735815,32
149930,706776,32
149930,302776,32
149930,361031,32
149930,606164,31
149930,284112,31
149930,261470,31
149930,232215,31
149930,109782,30
149930,963787,30
239362,580947,13
239362,803982,12
239362,952959,11
239362,736652,11
239362,210356,10
239362,754420,9
239362,239986,9
239362,386592,9
239362,843626,9
239362,605781,8
239362,168298,8
239362,582014,8
239362,637414,8
239362,698672,7
239362,547933,7
239362,287210,7
239362,111337,7
239362,839311,6
239362,64731,6
239362,843412,6
239362,707234,6
239362,379565,6
239362,811322,6
239362,781037,6
239362,920717,6
239362,162061,6
239362,64599,6
239362,187096,6
239362,102628,6
239362,869295,5
371775,547933,42
371775,284112,35
371775,800948,33
371775,286704,32
371775,149930,28
371775,20031,27
371775,994664,26
371775,456039,26
371775,607351,25
371775,169713,24
371775,606164,24
371775,231455,24
371775,598704,24
371775,406400,22
371775,758884,22
371775,405952,22
371775,902793,21
371775,33471,21
371775,405033,20
371775,232627,20
371775,39362,20
371775,384988,19
371775,783441,19
371775,202651,19
371775,361031,19
371775,735815,19
371775,920717,19
371775,683050,19
371775,736652,18
371775,333742,18
801021,406400,50
801021,505694,43
801021,606164,35
801021,994664,32
801021,20031,32
801021,33471,29
801021,196950,27
801021,350356,26
801021,607351,26
801021,961772,24
801021,776758,24
801021,302776,24
801021,26500,23
801021,68677,23
801021,163885,23
801021,384988,22
801021,100913,22
801021,535181,22
801021,829879,22
801021,363822,21
801021,897957,21
801021,547933,21
801021,822198,20
801021,153722,20
801021,138605,20
801021,637293,20
801021,109782,20
801021,286704,20
801021,683261,20
801021,920717,19
173028,505694,46
173028,406400,42
173028,100913,36
173028,338814,36
173028,606164,35
173028,384002,35
173028,776758,35
173028,33471,33
173028,350356,32
173028,683261,29
173028,26500,29
173028,483022,28
173028,911419,28
173028,196950,28
173028,918922,27
173028,160411,26
173028,68677,25
173028,284436,25
173028,40152,24
173028,605224,24
173028,861764,23
173028,707349,23
173028,385149,22
173028,994664,22
173028,138637,22
173028,435540,22
173028,384988,22
173028,20031,22
173028,482484,21
